Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        91.0          91          91         0.0           1
loginWindow#inject                                      48.0          48          48         0.0           1
loginWindow#load                                      1210.0        1210        1210         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         60.0          60          60         0.0           1
mainWindow#init                                         26.0          26          26         0.0           1
mainWindow#inject                                        1.0           1           1         0.0           1
mainWindow#load                                        462.0         462         462         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           4.0           4           4         0.0           1

Performance Statistics   2017-10-25 21:04:00 - 2017-10-25 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                 20.0          20          20         0.0           1
inspectionrecord$DefectType.browse#inject                3.0           3           3         0.0           1
inspectionrecord$DefectType.browse#load               1580.0        1580        1580         0.0           1
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#xml                  10.0          10          10         0.0           1
inspectionrecord$DefectType.browse@defectTypesDs       633.0         633         633         0.0           1

Performance Statistics   2017-10-25 21:06:00 - 2017-10-25 21:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
mainWindow#init                                          0.0           0           0         0.0           1
mainWindow#inject                                        0.0           0           0         0.0           1
mainWindow#load                                         36.0          36          36         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           0.0           0           0         0.0           1

Performance Statistics   2017-10-25 21:08:00 - 2017-10-25 21:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        20.0          20          20         0.0           1
loginWindow#inject                                      20.0          20          20         0.0           1
loginWindow#load                                       546.0         546         546         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         27.0          27          27         0.0           1
mainWindow#init                                         17.0          17          17         0.0           1
mainWindow#inject                                        1.0           1           1         0.0           1
mainWindow#load                                        357.0         357         357         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           3.0           3           3         0.0           1

Performance Statistics   2017-10-25 21:10:00 - 2017-10-25 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$HtDept.browse#load                    867.0         867         867         0.0           1
inspectionrecord$HtDept.browse#xml                       9.0           9           9         0.0           1

Performance Statistics   2017-10-25 21:12:00 - 2017-10-25 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$Employee.browse#init                    6.5           0          13         6.5           2
inspectionrecord$Employee.browse#inject                  0.0           0           0         0.0           2
inspectionrecord$Employee.browse#load                  129.5          12         247       117.5           2
inspectionrecord$Employee.browse#ready                   0.0           0           0         0.0           2
inspectionrecord$Employee.browse#uiPermissions           0.0           0           0         0.0           2
inspectionrecord$Employee.browse#xml                     4.5           0           9         4.5           2
inspectionrecord$Employee.browse@employeesDs            14.0           8          20         6.0           2
inspectionrecord$HtDept.browse#init                      0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#inject                    1.5           0           3         1.5           2
inspectionrecord$HtDept.browse#load                     22.0          22          22         0.0           1
inspectionrecord$HtDept.browse#ready                     0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#uiPermissions             0.0           0           0         0.0           2
inspectionrecord$HtDept.browse#xml                       0.0           0           0         0.0           1
inspectionrecord$HtDept.browse@htDeptsDs              1272.5         232        2313      1040.5           2
inspectionrecord$HtEmpl.browse#init                      0.0           0           0         0.0           3
inspectionrecord$HtEmpl.browse#inject                    0.0           0           0         0.0           3
inspectionrecord$HtEmpl.browse#load                     49.7          28          89        27.9           3
inspectionrecord$HtEmpl.browse#ready                     0.0           0           0         0.0           3
inspectionrecord$HtEmpl.browse#uiPermissions             0.0           0           0         0.0           3
inspectionrecord$HtEmpl.browse#xml                       0.3           0           1         0.5           3
inspectionrecord$HtEmpl.browse@htEmplsDs               345.0         240         559       125.4           4
inspectionrecord$InspectionRecord.browse#init            6.0           6           6         0.0           1
inspectionrecord$InspectionRecord.browse#inject          0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#load          204.0         204         204         0.0           1
inspectionrecord$InspectionRecord.browse#ready           0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#xml             7.0           7           7         0.0           1
inspectionrecord$InspectionRecord.browse@inspectionRecordsDs        11.0          11          11         0.0           1

Performance Statistics   2017-10-25 21:14:00 - 2017-10-25 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$DefectType.browse#init                  7.0           7           7         0.0           1
inspectionrecord$DefectType.browse#inject                0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#load                 34.0          34          34         0.0           1
inspectionrecord$DefectType.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$DefectType.browse#xml                   4.0           4           4         0.0           1
inspectionrecord$DefectType.browse@defectTypesDs        11.0          11          11         0.0           1
inspectionrecord$Department.browse#init                  8.0           8           8         0.0           1
inspectionrecord$Department.browse#inject                0.0           0           0         0.0           1
inspectionrecord$Department.browse#load                 36.0          36          36         0.0           1
inspectionrecord$Department.browse#ready                 0.0           0           0         0.0           1
inspectionrecord$Department.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$Department.browse#xml                   5.0           5           5         0.0           1
