Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 1.0           0          14         3.2          50
Messages.searchFiles                                     0.3           0          16         2.2          50

Performance Statistics   2017-10-25 21:03:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                               9.0           9           9         0.0           1
LoadClass                                                4.0           0          11         4.5           4
Messages.searchClasspath                                 0.4           0          51         3.2         335
Messages.searchFiles                                     0.0           0           5         0.3         335
Metadata.replaceExtendedMetaClasses                      3.0           3           3         0.0           2
PersistenceSecurity.applyConstraints(..)                 5.0           5           5         0.0           1
QueryParser.getEntityAlias()                             2.0           2           2         0.0           1
QueryParser.getEntityName()                             43.5           0         615       152.9          15
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          14
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          14
QueryParser.getParamNames()                              0.3           0           2         0.7          15
QueryParser.hasIsNullCondition(..)                      21.0          21          21         0.0           1
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           4
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           4
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           4
QueryTransformer.addWhereAsIs(..)                        0.8           0           3         1.3           4
QueryTransformer.getResult()                             1.3           0           5         2.2           4
QueryTransformer.replaceWithSelectEntityVariable(..)         0.8           0           3         1.3           4
SearchFolders                                           24.0          24          24         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           1
ViewRepository.init.ViewRepositoryClientImpl            25.0          25          25         0.0           1

Performance Statistics   2017-10-25 21:04:00 - 2017-10-25 21:05:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                1.5           0           3         1.5           2
MenuItem.inspectionrecord$DefectType.browse           2784.0        2784        2784         0.0           1
Messages.searchClasspath                                 0.2           0           7         0.8         285
Messages.searchFiles                                     0.0           0           0         0.0         285
PersistenceSecurity.applyConstraints(..)                 1.0           0           2         1.0           2
QueryParser.getEntityAlias()                             0.3           0           1         0.5           3
QueryParser.getEntityName()                              0.1           0           1         0.3          10
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           8
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           8
QueryParser.getParamNames()                              0.0           0           0         0.0          10
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0           2
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.0           0           0         0.0           2
QueryTransformer.getResult()                             0.0           0           0         0.0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         0.0           0           0         0.0           2
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           2
ViewRepository.init.ViewRepositoryImpl                  24.0          24          24         0.0           1

Performance Statistics   2017-10-25 21:05:00 - 2017-10-25 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:06:00 - 2017-10-25 21:07:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:07:00 - 2017-10-25 21:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                               4.0           4           4         0.0           1
LoadClass                                                0.0           0           0         0.0           2
Messages.searchClasspath                                 0.3           0          14         1.5         231
Messages.searchFiles                                     0.0           0          10         0.6         239
PersistenceSecurity.applyConstraints(..)                 1.0           1           1         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0           1
QueryParser.getEntityName()                              0.1           0           1         0.3           8
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           7
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           7
QueryParser.getParamNames()                              0.1           0           1         0.3           8
QueryParser.hasIsNullCondition(..)                       1.0           1           1         0.0           1
SearchFolders                                            4.0           4           4         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           1
ViewRepository.init.ViewRepositoryClientImpl            21.0          21          21         0.0           1

Performance Statistics   2017-10-25 21:08:00 - 2017-10-25 21:09:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 1.3           0          16         3.7          24
Messages.searchFiles                                     0.1           0           1         0.3          24

Performance Statistics   2017-10-25 21:09:00 - 2017-10-25 21:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                               5.0           5           5         0.0           1
LoadClass                                                1.3           0           3         1.3           4
Messages.searchClasspath                                 0.4           0          28         2.5         389
Messages.searchFiles                                     0.1           0          29         1.5         389
Metadata.replaceExtendedMetaClasses                      3.5           3           4         0.5           2
PersistenceSecurity.applyConstraints(..)                 4.0           4           4         0.0           1
QueryParser.getEntityAlias()                             1.0           1           1         0.0           1
QueryParser.getEntityName()                             36.1           0         479       122.9          14
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          13
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          13
QueryParser.getParamNames()                              0.3           0           2         0.7          14
QueryParser.hasIsNullCondition(..)                       9.0           9           9         0.0           1
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           4
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           4
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           4
QueryTransformer.addWhereAsIs(..)                        0.5           0           2         0.9           4
QueryTransformer.getResult()                             1.3           0           5         2.2           4
QueryTransformer.replaceWithSelectEntityVariable(..)         0.8           0           3         1.3           4
SearchFolders                                            9.0           9           9         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           1
ViewRepository.init.ViewRepositoryClientImpl            18.0          18          18         0.0           1

Performance Statistics   2017-10-25 21:10:00 - 2017-10-25 21:11:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:11:00 - 2017-10-25 21:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                1.5           0           3         1.5           2
Messages.searchClasspath                                 0.3           0          14         1.6          93
Messages.searchFiles                                     0.0           0           0         0.0          93
